Index,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
1,7,70.0,0.05
2,5,50.0,-1.8
3,10,100.0,0.93
4,6,60.0,0.8
5,4,40.0,0.9
6,8,80.0,0.71
7,8,80.0,0.26
8,5,50.0,-0.95
9,4,40.0,-3.6
10,6,60.0,-0.23
11,8,80.0,0.9
12,6,60.0,0.71
13,8,80.0,0.83
14,9,90.0,0.85
15,7,70.0,0.66
16,5,50.0,-1.1
17,8,80.0,0.55
18,5,50.0,-2.45
19,9,90.0,0.95
20,8,80.0,0.76
21,5,50.0,0.8
22,7,70.0,0.86
23,9,90.0,0.32
24,7,70.0,0.91
25,7,70.0,0.23
26,8,80.0,0.98
27,1,10.0,0
28,5,50.0,0.3
29,8,80.0,0.68
30,8,80.0,0.39
31,6,60.0,0.37
32,3,30.0,-0.5
33,9,90.0,0.61
34,10,100.0,0.77
35,7,70.0,0.46
36,6,60.0,0.83
37,5,50.0,0.65
38,8,80.0,0.56
39,6,60.0,0.17
40,6,60.0,-0.14
41,8,80.0,0.77
42,6,60.0,-0.2
43,4,40.0,0.0
44,9,90.0,0.24
45,4,40.0,-0.8
46,6,60.0,-0.09
47,7,70.0,0.73
48,9,90.0,0.89
49,9,90.0,0.36
50,8,80.0,0.6
51,9,90.0,0.89
52,8,80.0,0.76
53,8,80.0,0.62
54,3,33.3,-10.0
55,6,60.0,0.23
56,9,90.0,0.62
57,7,70.0,1.0
58,8,80.0,0.73
59,4,40.0,-4.7
60,7,70.0,0.84
61,7,70.0,0.71
62,8,80.0,0.76
63,9,90.0,0.92
64,8,80.0,0.85
65,9,90.0,0.88
66,5,50.0,0.95
67,6,60.0,0.86
68,6,60.0,0.94
69,5,50.0,0.3
70,7,70.0,0.75
71,9,90.0,0.77
72,7,70.0,0.73
73,3,60.0,0.25
74,5,50.0,-0.05
75,7,70.0,0.73
76,9,90.0,0.96
77,7,70.0,0.93
78,8,80.0,0.82
79,9,90.0,0.91
80,6,60.0,0.09
81,6,60.0,0.77
82,6,60.0,0.66
83,7,70.0,0.61
84,7,70.0,0.11
85,5,50.0,0.0
86,6,60.0,0.97
87,8,80.0,0.88
88,7,70.0,0.0
89,8,80.0,0.8
90,7,70.0,0.8
91,5,50.0,0.5
92,7,70.0,0.75
93,8,80.0,0.79
94,6,60.0,0.91
95,8,80.0,0.92
96,6,60.0,-0.17
97,7,70.0,0.96
98,2,20.0,-1.0
99,4,40.0,-0.9
100,4,40.0,-6.5
Averages,6.7,67.33,0.18389999999999998
